DATE_FROM;DATE_TO;PRODUCT_TYPE;TENDER_NUMBER;PRODUCTNAME;CROSSBORDER_SETTLEMENTCAPACITY_PRICE_[EUR/MW];AT_DEMAND_[MW];AT_SETTLEMENTCAPACITY_PRICE_[EUR/MW];AT_IMPORT(-)_EXPORT(+)_[MW];BE_DEMAND_[MW];BE_SETTLEMENTCAPACITY_PRICE_[EUR/MW];BE_IMPORT(-)_EXPORT(+)_[MW];CH_DEMAND_[MW];CH_SETTLEMENTCAPACITY_PRICE_[EUR/MW];CH_IMPORT(-)_EXPORT(+)_[MW];DE_DEMAND_[MW];DE_SETTLEMENTCAPACITY_PRICE_[EUR/MW];DE_IMPORT(-)_EXPORT(+)_[MW];FR_DEMAND_[MW];FR_SETTLEMENTCAPACITY_PRICE_[EUR/MW];FR_IMPORT(-)_EXPORT(+)_[MW];NL_DEMAND_[MW];NL_SETTLEMENTCAPACITY_PRICE_[EUR/MW];NL_IMPORT(-)_EXPORT(+)_[MW];SI_DEMAND_[MW];SI_SETTLEMENTCAPACITY_PRICE_[EUR/MW];SI_IMPORT(-)_EXPORT(+)_[MW];DK_DEMAND_[MW];DK_SETTLEMENTCAPACITY_PRICE_[EUR/MW];DK_IMPORT(-)_EXPORT(+)_[MW]
01-01-2021;01-01-2021;FCR;1;NEGPOS_00_04;22.99;71;22.99;4;87;161.76;-60;67;22.99;15;562;22.99;38;508;22.99;73;114;22.99;-70;-;-;-;-;-;-
01-01-2021;01-01-2021;FCR;1;NEGPOS_04_08;19.5;71;19.5;4;87;158.17;-60;67;19.5;6;562;19.5;-32;508;15.4;152;114;19.5;-70;-;-;-;-;-;-
01-01-2021;01-01-2021;FCR;1;NEGPOS_08_12;17.1;71;17.1;-2;87;62.42;-60;67;17.1;16;562;17.1;10;508;17.1;106;114;17.1;-70;-;-;-;-;-;-
01-01-2021;01-01-2021;FCR;1;NEGPOS_12_16;20;71;20;9;87;55.89;-60;67;20;13;562;20;28;508;20;80;114;20;-70;-;-;-;-;-;-
01-01-2021;01-01-2021;FCR;1;NEGPOS_16_20;15;71;15;-2;87;48.21;-60;67;15;44;562;15;-19;508;15;107;114;15;-70;-;-;-;-;-;-
01-01-2021;01-01-2021;FCR;1;NEGPOS_20_24;20;71;20;0;87;90.06;-60;67;20;18;562;20;-8;508;20;120;114;20;-70;-;-;-;-;-;-
02-01-2021;02-01-2021;FCR;1;NEGPOS_00_04;15.4;71;15.4;-2;87;151.07;-60;67;15.4;-8;562;15.4;-12;508;11.36;152;114;15.4;-70;-;-;-;-;-;-
02-01-2021;02-01-2021;FCR;1;NEGPOS_04_08;18.4;71;18.4;-2;87;141.04;-60;67;18.4;12;562;18.4;16;508;18.4;104;114;18.4;-70;-;-;-;-;-;-
02-01-2021;02-01-2021;FCR;1;NEGPOS_08_12;20;71;20;-2;87;42.86;-60;67;20;78;562;20;20;508;20;34;114;20;-70;-;-;-;-;-;-
02-01-2021;02-01-2021;FCR;1;NEGPOS_12_16;20;71;20;9;87;41.38;-60;67;20;75;562;20;18;508;20;28;114;20;-70;-;-;-;-;-;-
02-01-2021;02-01-2021;FCR;1;NEGPOS_16_20;13.64;71;13.64;0;87;49.6;-60;67;13.64;52;562;13.64;-19;508;13.64;97;114;13.64;-70;-;-;-;-;-;-
02-01-2021;02-01-2021;FCR;1;NEGPOS_20_24;25;71;25;9;87;72.12;-60;67;25;30;562;25;56;508;25;35;114;25;-70;-;-;-;-;-;-
03-01-2021;03-01-2021;FCR;1;NEGPOS_00_04;22;71;22;-2;87;80.01;-57;67;22;12;562;22;42;508;22;84;114;22;-70;-;-;-;-;-;-
03-01-2021;03-01-2021;FCR;1;NEGPOS_04_08;17.94;71;17.94;-2;87;99.84;-57;67;17.94;7;562;17.94;-30;508;13.92;152;114;17.94;-70;-;-;-;-;-;-
03-01-2021;03-01-2021;FCR;1;NEGPOS_08_12;16;71;16;-2;87;17.81;-60;67;16;46;562;16;-46;508;16;132;114;16;-70;-;-;-;-;-;-
03-01-2021;03-01-2021;FCR;1;NEGPOS_12_16;14.56;71;14.56;-2;87;18.5;-60;67;14.56;44;562;14.56;-10;508;14.56;98;114;14.56;-70;-;-;-;-;-;-
03-01-2021;03-01-2021;FCR;1;NEGPOS_16_20;14.16;71;14.16;-2;87;32.22;-60;67;14.16;48;562;14.16;-21;508;14.16;105;114;14.16;-70;-;-;-;-;-;-
03-01-2021;03-01-2021;FCR;1;NEGPOS_20_24;16.1;71;16.1;-2;87;66.32;-60;67;16.1;14;562;16.1;-31;508;16.1;149;114;16.1;-70;-;-;-;-;-;-
04-01-2021;04-01-2021;FCR;1;NEGPOS_00_04;19.28;71;19.28;-1;87;120.42;-60;67;19.28;43;562;19.28;-43;508;19.28;132;114;19.28;-71;-;-;-;-;-;-
04-01-2021;04-01-2021;FCR;1;NEGPOS_04_08;19.72;71;19.72;-1;87;115.67;-60;67;19.72;38;562;19.72;-5;508;19.72;99;114;19.72;-71;-;-;-;-;-;-
04-01-2021;04-01-2021;FCR;1;NEGPOS_08_12;11;71;11;-9;87;27.91;-60;67;11;1;562;11;-2;508;11;141;114;11;-71;-;-;-;-;-;-
04-01-2021;04-01-2021;FCR;1;NEGPOS_12_16;11.5;71;11.5;-3;87;26.11;-60;67;11.5;33;562;11.5;1;508;11.5;101;114;11.5;-72;-;-;-;-;-;-
04-01-2021;04-01-2021;FCR;1;NEGPOS_16_20;11.96;71;11.96;1;87;42.82;-60;67;11.96;19;562;11.96;0;508;11.96;111;114;11.96;-71;-;-;-;-;-;-
04-01-2021;04-01-2021;FCR;1;NEGPOS_20_24;21.22;71;21.22;-1;87;55.15;-60;67;21.22;56;562;21.22;40;508;21.22;36;114;21.22;-71;-;-;-;-;-;-
05-01-2021;05-01-2021;FCR;1;NEGPOS_00_04;22;71;22;-1;87;111.98;-60;67;22;40;562;22;82;508;22;10;114;22;-71;-;-;-;-;-;-
05-01-2021;05-01-2021;FCR;1;NEGPOS_04_08;26.33;71;26.33;-1;87;110.09;-60;67;26.33;39;562;26.33;41;508;26.33;52;114;26.33;-71;-;-;-;-;-;-
05-01-2021;05-01-2021;FCR;1;NEGPOS_08_12;10.4;71;10.4;-9;87;36.4;-60;67;10.4;-2;562;10.4;-3;508;9.84;152;114;10.4;-78;-;-;-;-;-;-
05-01-2021;05-01-2021;FCR;1;NEGPOS_12_16;11;71;11;-5;87;34.85;-60;67;11;3;562;11;-2;508;11;137;114;11;-73;-;-;-;-;-;-
05-01-2021;05-01-2021;FCR;1;NEGPOS_16_20;10.4;71;10.4;-14;87;57.86;-60;67;10.4;1;562;10.4;-1;508;3.72;152;114;10.4;-78;-;-;-;-;-;-
05-01-2021;05-01-2021;FCR;1;NEGPOS_20_24;19;71;19;-1;87;47.99;-60;67;19;41;562;19;28;508;19;63;114;19;-71;-;-;-;-;-;-
06-01-2021;06-01-2021;FCR;1;NEGPOS_00_04;27.99;71;27.99;-2;87;90.49;-60;67;27.99;40;562;27.99;82;508;27.99;11;114;149.99;-71;-;-;-;-;-;-
06-01-2021;06-01-2021;FCR;1;NEGPOS_04_08;28;71;28;-2;87;97.13;-60;67;28;42;562;28;80;508;28;21;114;122.98;-71;-;-;-;-;-;-
06-01-2021;06-01-2021;FCR;1;NEGPOS_08_12;11;71;11;-9;87;56.61;-60;67;11;11;562;11;-19;508;11;136;114;181.9;-59;-;-;-;-;-;-
06-01-2021;06-01-2021;FCR;1;NEGPOS_12_16;15.66;71;15.66;2;87;53.95;-60;67;15.66;67;562;15.66;-13;508;15.66;79;114;162.26;-71;-;-;-;-;-;-
06-01-2021;06-01-2021;FCR;1;NEGPOS_16_20;15;71;15;3;87;67.42;-60;67;15;28;562;15;-14;508;15;114;114;168.38;-71;-;-;-;-;-;-
06-01-2021;06-01-2021;FCR;1;NEGPOS_20_24;19;71;19;-2;87;56.69;-60;67;19;77;562;19;10;508;19;34;114;118;-59;-;-;-;-;-;-
07-01-2021;07-01-2021;FCR;1;NEGPOS_00_04;29;71;29;-1;87;77.05;-60;67;29;80;562;29;84;508;29;-32;114;145.13;-71;-;-;-;-;-;-
07-01-2021;07-01-2021;FCR;1;NEGPOS_04_08;29;71;29;6;87;79.82;-60;67;29;81;562;29;37;508;29;7;114;135.62;-71;-;-;-;-;-;-
07-01-2021;07-01-2021;FCR;1;NEGPOS_08_12;10.6;71;10.6;-2;87;92.95;-60;67;10.6;-1;562;10.6;-18;508;1.52;152;114;263.98;-71;-;-;-;-;-;-
07-01-2021;07-01-2021;FCR;1;NEGPOS_12_16;10.4;71;10.4;-1;87;77.22;-60;67;10.4;-1;562;10.4;-19;508;1.68;152;114;176.18;-71;-;-;-;-;-;-
07-01-2021;07-01-2021;FCR;1;NEGPOS_16_20;11.5;71;11.5;-7;87;104.71;-60;67;11.5;11;562;11.5;-25;508;1.4;152;114;179.77;-71;-;-;-;-;-;-
07-01-2021;07-01-2021;FCR;1;NEGPOS_20_24;11;71;11;-9;87;73.49;-60;67;11;53;562;11;-1;508;11;88;114;105.65;-71;-;-;-;-;-;-
08-01-2021;08-01-2021;FCR;1;NEGPOS_00_04;19;71;19;-1;87;65.5;-60;67;19;76;562;19;49;508;19;12;114;19;-76;-;-;-;-;-;-
08-01-2021;08-01-2021;FCR;1;NEGPOS_04_08;25;71;25;6;87;63.15;-60;67;25;79;562;25;26;508;25;25;114;25;-76;-;-;-;-;-;-
08-01-2021;08-01-2021;FCR;1;NEGPOS_08_12;10;71;10;-19;87;385.51;-38;67;10;-7;562;10;-11;508;1;152;114;10;-77;-;-;-;-;-;-
08-01-2021;08-01-2021;FCR;1;NEGPOS_12_16;10.7;71;10.7;-14;87;104.2;-60;67;10.7;4;562;10.7;-5;508;1.36;152;114;10.7;-77;-;-;-;-;-;-
08-01-2021;08-01-2021;FCR;1;NEGPOS_16_20;10.7;71;10.7;-14;87;132.82;-60;67;10.7;1;562;10.7;-3;508;1.08;152;114;10.7;-76;-;-;-;-;-;-
08-01-2021;08-01-2021;FCR;1;NEGPOS_20_24;11;71;11;-9;87;73.21;-60;67;11;32;562;11;-4;508;11;117;114;11;-76;-;-;-;-;-;-
09-01-2021;09-01-2021;FCR;1;NEGPOS_00_04;19.1;71;19.1;6;87;56.34;-60;67;19.1;77;562;19.1;66;508;19.1;-23;114;19.1;-66;-;-;-;-;-;-
09-01-2021;09-01-2021;FCR;1;NEGPOS_04_08;29;71;29;6;87;55.53;-60;67;29;83;562;29;97;508;29;-60;114;29;-66;-;-;-;-;-;-
09-01-2021;09-01-2021;FCR;1;NEGPOS_08_12;12.88;71;12.88;2;87;122.51;-60;67;12.88;84;562;12.88;-42;508;12.88;82;114;12.88;-66;-;-;-;-;-;-
09-01-2021;09-01-2021;FCR;1;NEGPOS_12_16;11;71;11;-2;87;105.59;-60;67;11;81;562;11;-1;508;11;56;114;11;-74;-;-;-;-;-;-
09-01-2021;09-01-2021;FCR;1;NEGPOS_16_20;10;71;10;-7;87;137.53;-60;67;10;49;562;10;-10;508;10;98;114;10;-70;-;-;-;-;-;-
09-01-2021;09-01-2021;FCR;1;NEGPOS_20_24;15.83;71;15.83;5;87;79.42;-60;67;15.83;79;562;15.83;14;508;15.83;28;114;15.83;-66;-;-;-;-;-;-
10-01-2021;10-01-2021;FCR;1;NEGPOS_00_04;20;71;20;4;87;47.13;-60;67;20;63;562;20;70;508;20;-11;114;20;-66;-;-;-;-;-;-
10-01-2021;10-01-2021;FCR;1;NEGPOS_04_08;25;71;25;-3;87;47.16;-60;67;25;15;562;25;88;508;25;26;114;25;-66;-;-;-;-;-;-
10-01-2021;10-01-2021;FCR;1;NEGPOS_08_12;18;71;18;10;87;127.21;-60;67;18;69;562;18;30;508;18;17;114;18;-66;-;-;-;-;-;-
10-01-2021;10-01-2021;FCR;1;NEGPOS_12_16;16;71;16;9;87;109.16;-60;67;16;67;562;16;28;508;16;22;114;16;-66;-;-;-;-;-;-
10-01-2021;10-01-2021;FCR;1;NEGPOS_16_20;15;71;15;9;87;146.63;-60;67;15;73;562;15;10;508;15;34;114;15;-66;-;-;-;-;-;-
10-01-2021;10-01-2021;FCR;1;NEGPOS_20_24;19;71;19;10;87;96.82;-60;67;19;72;562;19;10;508;19;34;114;19;-66;-;-;-;-;-;-
11-01-2021;11-01-2021;FCR;1;NEGPOS_00_04;29.8;71;29.8;-3;87;39.76;-60;67;29.8;59;562;29.8;120;508;29.8;-47;114;29.8;-69;-;-;-;-;-;-
11-01-2021;11-01-2021;FCR;1;NEGPOS_04_08;39.84;71;39.84;-2;87;41.43;-60;67;39.84;73;562;39.84;85;508;39.84;-27;114;39.84;-69;-;-;-;-;-;-
11-01-2021;11-01-2021;FCR;1;NEGPOS_08_12;11.76;71;11.76;-4;87;123.7;-60;67;11.76;6;562;11.76;-25;508;1.24;152;114;11.76;-69;-;-;-;-;-;-
11-01-2021;11-01-2021;FCR;1;NEGPOS_12_16;10.8;71;10.8;6;87;105.2;-60;67;10.8;2;562;10.8;-24;508;1.48;152;114;10.8;-76;-;-;-;-;-;-
11-01-2021;11-01-2021;FCR;1;NEGPOS_16_20;11.4;71;11.4;8;87;141.8;-60;67;11.4;6;562;11.4;-33;508;1.52;152;114;11.4;-73;-;-;-;-;-;-
11-01-2021;11-01-2021;FCR;1;NEGPOS_20_24;19.86;71;19.86;-3;87;92.19;-60;67;19.86;41;562;19.86;37;508;19.86;54;114;19.86;-69;-;-;-;-;-;-
12-01-2021;12-01-2021;FCR;1;NEGPOS_00_04;33.72;71;33.72;-2;87;200;-38;67;33.72;30;562;33.72;-6;508;33.72;88;114;33.72;-72;-;-;-;-;-;-
12-01-2021;12-01-2021;FCR;1;NEGPOS_04_08;33.24;71;33.24;-2;87;200;-38;67;33.24;40;562;33.24;2;508;33.24;70;114;33.24;-72;-;-;-;-;-;-
12-01-2021;12-01-2021;FCR;1;NEGPOS_08_12;10.8;71;10.8;-11;87;200;-41;67;10.8;4;562;10.8;-27;508;9.04;152;114;10.8;-77;-;-;-;-;-;-
12-01-2021;12-01-2021;FCR;1;NEGPOS_12_16;10.76;71;10.76;-28;87;200;-41;67;10.76;55;562;10.76;-65;508;7.6;152;114;10.76;-73;-;-;-;-;-;-
12-01-2021;12-01-2021;FCR;1;NEGPOS_16_20;10.9;71;10.9;7;87;200;-38;67;10.9;5;562;10.9;-24;508;10.9;122;114;10.9;-72;-;-;-;-;-;-
12-01-2021;12-01-2021;FCR;1;NEGPOS_20_24;19;71;19;-3;87;200;-38;67;19;52;562;19;-53;508;19;111;114;19;-69;-;-;-;-;-;-
13-01-2021;13-01-2021;FCR;1;NEGPOS_00_04;30.76;71;30.76;4;87;63.04;-60;67;30.76;27;562;30.76;20;508;30.76;81;114;30.76;-72;-;-;-;-;-;-
