HourUTC,HourDK,FCR_N_PriceDKK,FCR_N_PriceEUR,FCR_D_UpPriceDKK,FCR_D_UpPriceEUR
2020-12-31T00:00:00,2020-12-31T01:00:00,142.25,19.12,122.6,16.48
2020-12-31T01:00:00,2020-12-31T02:00:00,142.39,19.14,120.82,16.24
2020-12-31T02:00:00,2020-12-31T03:00:00,141.87,19.07,120.67,16.22
2020-12-31T03:00:00,2020-12-31T04:00:00,136.44,18.34,118.66,15.95
2020-12-31T04:00:00,2020-12-31T05:00:00,136,18.28,120.67,16.22
2020-12-31T05:00:00,2020-12-31T06:00:00,134.58,18.09,120.82,16.24
2020-12-31T06:00:00,2020-12-31T07:00:00,133.54,17.95,121.34,16.31
2020-12-31T07:00:00,2020-12-31T08:00:00,133.76,17.98,122.38,16.45
2020-12-31T08:00:00,2020-12-31T09:00:00,136.14,18.3,122.38,16.45
2020-12-31T09:00:00,2020-12-31T10:00:00,136.89,18.4,127.51,17.14
2020-12-31T10:00:00,2020-12-31T11:00:00,135.77,18.25,127.96,17.2
2020-12-31T11:00:00,2020-12-31T12:00:00,135.48,18.21,127.44,17.13
2020-12-31T12:00:00,2020-12-31T13:00:00,132.95,17.87,124.46,16.73
2020-12-31T13:00:00,2020-12-31T14:00:00,135.33,18.19,128.33,17.25
2020-12-31T14:00:00,2020-12-31T15:00:00,137.11,18.43,132.87,17.86
2020-12-31T15:00:00,2020-12-31T16:00:00,139.72,18.78,155.26,20.87
2020-12-31T16:00:00,2020-12-31T17:00:00,141.2,18.98,157.5,21.17
2020-12-31T17:00:00,2020-12-31T18:00:00,137.34,18.46,171.71,23.08
2020-12-31T18:00:00,2020-12-31T19:00:00,132.5,17.81,170.37,22.9
2020-12-31T19:00:00,2020-12-31T20:00:00,136.67,18.37,163.82,22.02
2020-12-31T20:00:00,2020-12-31T21:00:00,135.85,18.26,125.73,16.9
2020-12-31T21:00:00,2020-12-31T22:00:00,136.96,18.41,127.74,17.17
2020-12-31T22:00:00,2020-12-31T23:00:00,140.01,18.82,126.77,17.04
2020-12-31T23:00:00,2021-01-01T00:00:00,147.63,19.84,116.67,15.68
2021-01-01T00:00:00,2021-01-01T01:00:00,146.59,19.7,117.57,15.8
2021-01-01T01:00:00,2021-01-01T02:00:00,146.29,19.66,117.57,15.8
2021-01-01T02:00:00,2021-01-01T03:00:00,145.84,19.6,117.42,15.78
2021-01-01T03:00:00,2021-01-01T04:00:00,145.92,19.61,118.16,15.88
