HourUTC,HourDK,mFRR_DownExpected,mFRR_DownPurchased,mFRR_DownPriceDKK,mFRR_DownPriceEUR,mFRR_DownExpectedXtra,mFRR_DownPurchasedXtra,mFRR_DownPriceXtraDKK,mFRR_DownPriceXtraEUR,mFRR_UpExpected,mFRR_UpPurchased,mFRR_UpPriceDKK,mFRR_UpPriceEUR,mFRR_UpExpectedXtra,mFRR_UpPurchasedXtra,mFRR_UpPriceXtraDKK,mFRR_UpPriceXtraEUR
2021-12-31T23:00:00+00:00,2022-01-01T00:00:00,0,0,0,0,0,0,0,0,284,286.3,5.28,0.71,0,0,0,0
2021-12-31T22:00:00+00:00,2021-12-31T23:00:00,0,0,0,0,0,0,0,0,384,393.7,14.8,1.99,0,0,0,0
2021-12-31T21:00:00+00:00,2021-12-31T22:00:00,0,0,0,0,0,0,0,0,384,393.7,14.8,1.99,0,0,0,0
2021-12-31T20:00:00+00:00,2021-12-31T21:00:00,0,0,0,0,0,0,0,0,384,393.7,14.8,1.99,0,0,0,0
2021-12-31T19:00:00+00:00,2021-12-31T20:00:00,0,0,0,0,0,0,0,0,384,384,48.8,6.56,0,0,0,0
2021-12-31T18:00:00+00:00,2021-12-31T19:00:00,0,0,0,0,0,0,0,0,384,388.9,116.4,15.65,0,0,0,0
2021-12-31T17:00:00+00:00,2021-12-31T18:00:00,0,0,0,0,0,0,0,0,384,388.8,117.2,15.76,0,0,0,0
2021-12-31T16:00:00+00:00,2021-12-31T17:00:00,0,0,0,0,0,0,0,0,384,386.3,120,16.14,0,0,0,0
2021-12-31T15:00:00+00:00,2021-12-31T16:00:00,0,0,0,0,0,0,0,0,384,386.2,120,16.14,0,0,0,0
2021-12-31T14:00:00+00:00,2021-12-31T15:00:00,0,0,0,0,0,0,0,0,384,390.2,120,16.14,0,0,0,0
2021-12-31T13:00:00+00:00,2021-12-31T14:00:00,0,0,0,0,0,0,0,0,384,389.4,110.4,14.85,0,0,0,0
2021-12-31T12:00:00+00:00,2021-12-31T13:00:00,0,0,0,0,0,0,0,0,384,385,138,18.56,0,0,0,0
2021-12-31T11:00:00+00:00,2021-12-31T12:00:00,0,0,0,0,0,0,0,0,384,385,142,19.1,0,0,0,0
2021-12-31T10:00:00+00:00,2021-12-31T11:00:00,0,0,0,0,0,0,0,0,384,388.5,142,19.1,0,0,0,0
2021-12-31T09:00:00+00:00,2021-12-31T10:00:00,0,0,0,0,0,0,0,0,384,385.6,142,19.1,0,0,0,0
2021-12-31T08:00:00+00:00,2021-12-31T09:00:00,0,0,0,0,0,0,0,0,384,385.6,149.5,20.1,0,0,0,0
2021-12-31T07:00:00+00:00,2021-12-31T08:00:00,0,0,0,0,0,0,0,0,384,393.2,138.5,18.62,0,0,0,0
2021-12-31T06:00:00+00:00,2021-12-31T07:00:00,0,0,0,0,0,0,0,0,384,390.7,92,12.37,0,0,0,0
2021-12-31T05:00:00+00:00,2021-12-31T06:00:00,0,0,0,0,0,0,0,0,384,386.8,15,2.02,0,0,0,0
2021-12-31T04:00:00+00:00,2021-12-31T05:00:00,0,0,0,0,0,0,0,0,384,391,14.8,1.99,0,0,0,0
2021-12-31T03:00:00+00:00,2021-12-31T04:00:00,0,0,0,0,0,0,0,0,384,393.8,14.8,1.99,0,0,0,0
2021-12-31T02:00:00+00:00,2021-12-31T03:00:00,0,0,0,0,0,0,0,0,384,384.5,10,1.34,0,0,0,0
2021-12-31T01:00:00+00:00,2021-12-31T02:00:00,0,0,0,0,0,0,0,0,384,384.5,10,1.34,0,0,0,0
2021-12-31T00:00:00+00:00,2021-12-31T01:00:00,0,0,0,0,0,0,0,0,384,384.5,10,1.34,0,0,0,0
2021-12-30T23:00:00+00:00,2021-12-31T00:00:00,0,0,0,0,0,0,0,0,384,392.8,14.8,1.99,0,0,0,0
2021-12-30T22:00:00+00:00,2021-12-30T23:00:00,0,0,0,0,0,0,0,0,384,388.8,19.5,2.62,0,0,0,0
2021-12-30T21:00:00+00:00,2021-12-30T22:00:00,0,0,0,0,0,0,0,0,384,388.1,19.5,2.62,0,0,0,0
2021-12-30T20:00:00+00:00,2021-12-30T21:00:00,0,0,0,0,0,0,0,0,384,385.7,84.8,11.4,0,0,0,0
2021-12-30T19:00:00+00:00,2021-12-30T20:00:00,0,0,0,0,0,0,0,0,384,389.2,124.8,16.78,0,0,0,0
2021-12-30T18:00:00+00:00,2021-12-30T19:00:00,0,0,0,0,0,0,0,0,384,384,207,27.84,0,0,0,0
2021-12-30T17:00:00+00:00,2021-12-30T18:00:00,0,0,0,0,0,0,0,0,384,386,378,50.83,0,0,0,0
2021-12-30T16:00:00+00:00,2021-12-30T17:00:00,0,0,0,0,0,0,0,0,384,384.8,394,52.98,0,0,0,0
2021-12-30T15:00:00+00:00,2021-12-30T16:00:00,0,0,0,0,0,0,0,0,384,384.7,320.5,43.1,0,0,0,0
2021-12-30T14:00:00+00:00,2021-12-30T15:00:00,0,0,0,0,0,0,0,0,384,388.3,156,20.98,0,0,0,0
2021-12-30T13:00:00+00:00,2021-12-30T14:00:00,0,0,0,0,0,0,0,0,384,388.5,156,20.98,0,0,0,0
2021-12-30T12:00:00+00:00,2021-12-30T13:00:00,0,0,0,0,0,0,0,0,384,385.5,247,33.22,0,0,0,0
2021-12-30T11:00:00+00:00,2021-12-30T12:00:00,0,0,0,0,0,0,0,0,384,385.5,247,33.22,0,0,0,0
2021-12-30T10:00:00+00:00,2021-12-30T11:00:00,0,0,0,0,0,0,0,0,384,384.6,249,33.48,0,0,0,0
2021-12-30T09:00:00+00:00,2021-12-30T10:00:00,0,0,0,0,0,0,0,0,384,387,249.5,33.55,0,0,0,0
2021-12-30T08:00:00+00:00,2021-12-30T09:00:00,0,0,0,0,0,0,0,0,384,386,247.5,33.28,0,0,0,0
2021-12-30T07:00:00+00:00,2021-12-30T08:00:00,0,0,0,0,0,0,0,0,384,384.8,249,33.48,0,0,0,0
2021-12-30T06:00:00+00:00,2021-12-30T07:00:00,0,0,0,0,0,0,0,0,384,384,247,33.22,0,0,0,0
