HourUTC,HourDK,mFRR_DownExpected,mFRR_DownPurchased,mFRR_DownPriceDKK,mFRR_DownPriceEUR,mFRR_UpExpected,mFRR_UpPurchased,mFRR_UpPriceDKK,mFRR_UpPriceEUR
2021-12-31T23:00:00+00:00,2022-01-01T00:00:00,0,0,0,0,234,280.2,47,6.32
2021-12-31T22:00:00+00:00,2021-12-31T23:00:00,0,0,0,0,238,269.7,60,8.07
2021-12-31T21:00:00+00:00,2021-12-31T22:00:00,0,0,0,0,238,269.7,60,8.07
2021-12-31T20:00:00+00:00,2021-12-31T21:00:00,0,0,0,0,238,269.7,60,8.07
2021-12-31T19:00:00+00:00,2021-12-31T20:00:00,0,0,0,0,238,269.7,60,8.07
2021-12-31T18:00:00+00:00,2021-12-31T19:00:00,0,0,0,0,238,269.7,60,8.07
2021-12-31T17:00:00+00:00,2021-12-31T18:00:00,0,0,0,0,238,269.7,60,8.07
2021-12-31T16:00:00+00:00,2021-12-31T17:00:00,0,0,0,0,238,269.7,60,8.07
2021-12-31T15:00:00+00:00,2021-12-31T16:00:00,0,0,0,0,238,269.7,60,8.07
2021-12-31T14:00:00+00:00,2021-12-31T15:00:00,0,0,0,0,238,269.7,60,8.07
2021-12-31T13:00:00+00:00,2021-12-31T14:00:00,0,0,0,0,238,269.7,60,8.07
2021-12-31T12:00:00+00:00,2021-12-31T13:00:00,0,0,0,0,238,269.7,60,8.07
2021-12-31T11:00:00+00:00,2021-12-31T12:00:00,0,0,0,0,238,270.1,60,8.07
2021-12-31T10:00:00+00:00,2021-12-31T11:00:00,0,0,0,0,238,267.7,60,8.07
2021-12-31T09:00:00+00:00,2021-12-31T10:00:00,0,0,0,0,238,264.7,60,8.07
2021-12-31T08:00:00+00:00,2021-12-31T09:00:00,0,0,0,0,238,262.7,60,8.07
2021-12-31T07:00:00+00:00,2021-12-31T08:00:00,0,0,0,0,238,262.7,60,8.07
2021-12-31T06:00:00+00:00,2021-12-31T07:00:00,0,0,0,0,238,263.7,60,8.07
2021-12-31T05:00:00+00:00,2021-12-31T06:00:00,0,0,0,0,238,270.7,60,8.07
2021-12-31T04:00:00+00:00,2021-12-31T05:00:00,0,0,0,0,238,241.7,60,8.07
2021-12-31T03:00:00+00:00,2021-12-31T04:00:00,0,0,0,0,238,241.7,60,8.07
2021-12-31T02:00:00+00:00,2021-12-31T03:00:00,0,0,0,0,238,279.7,60,8.07
2021-12-31T01:00:00+00:00,2021-12-31T02:00:00,0,0,0,0,238,279.7,60,8.07
2021-12-31T00:00:00+00:00,2021-12-31T01:00:00,0,0,0,0,238,259.7,60,8.07
2021-12-30T23:00:00+00:00,2021-12-31T00:00:00,0,0,0,0,238,259.7,60,8.07
2021-12-30T22:00:00+00:00,2021-12-30T23:00:00,0,0,0,0,238,249.2,60,8.07
2021-12-30T21:00:00+00:00,2021-12-30T22:00:00,0,0,0,0,238,249.2,60,8.07
2021-12-30T20:00:00+00:00,2021-12-30T21:00:00,0,0,0,0,238,249.2,60,8.07
2021-12-30T19:00:00+00:00,2021-12-30T20:00:00,0,0,0,0,238,249.2,60,8.07
2021-12-30T18:00:00+00:00,2021-12-30T19:00:00,0,0,0,0,238,249.2,60,8.07
2021-12-30T17:00:00+00:00,2021-12-30T18:00:00,0,0,0,0,238,284.2,60,8.07
2021-12-30T16:00:00+00:00,2021-12-30T17:00:00,0,0,0,0,238,284.2,60,8.07
2021-12-30T15:00:00+00:00,2021-12-30T16:00:00,0,0,0,0,238,284.2,60,8.07
2021-12-30T14:00:00+00:00,2021-12-30T15:00:00,0,0,0,0,238,286.2,60,8.07
2021-12-30T13:00:00+00:00,2021-12-30T14:00:00,0,0,0,0,238,255.2,60,8.07
2021-12-30T12:00:00+00:00,2021-12-30T13:00:00,0,0,0,0,238,255.2,60,8.07
2021-12-30T11:00:00+00:00,2021-12-30T12:00:00,0,0,0,0,238,255.6,60,8.07
2021-12-30T10:00:00+00:00,2021-12-30T11:00:00,0,0,0,0,238,255.2,60,8.07
2021-12-30T09:00:00+00:00,2021-12-30T10:00:00,0,0,0,0,238,246.2,60,8.07
2021-12-30T08:00:00+00:00,2021-12-30T09:00:00,0,0,0,0,238,245.2,60,8.07
2021-12-30T07:00:00+00:00,2021-12-30T08:00:00,0,0,0,0,238,265.2,60,8.07
2021-12-30T06:00:00+00:00,2021-12-30T07:00:00,0,0,0,0,238,267.2,60,8.07
2021-12-30T05:00:00+00:00,2021-12-30T06:00:00,0,0,0,0,238,286.7,60,8.07
2021-12-30T04:00:00+00:00,2021-12-30T05:00:00,0,0,0,0,238,286.7,60,8.07
2021-12-30T03:00:00+00:00,2021-12-30T04:00:00,0,0,0,0,238,257.7,60,8.07
2021-12-30T02:00:00+00:00,2021-12-30T03:00:00,0,0,0,0,238,246.7,60,8.07
2021-12-30T01:00:00+00:00,2021-12-30T02:00:00,0,0,0,0,238,246.7,60,8.07
2021-12-30T00:00:00+00:00,2021-12-30T01:00:00,0,0,0,0,238,246.7,60,8.07
2021-12-29T23:00:00+00:00,2021-12-30T00:00:00,0,0,0,0,238,246.7,60,8.07
2021-12-29T22:00:00+00:00,2021-12-29T23:00:00,0,0,0,0,238,250.2,60,8.07
2021-12-29T21:00:00+00:00,2021-12-29T22:00:00,0,0,0,0,238,250.2,60,8.07
2021-12-29T20:00:00+00:00,2021-12-29T21:00:00,0,0,0,0,238,250.2,60,8.07
2021-12-29T19:00:00+00:00,2021-12-29T20:00:00,0,0,0,0,238,258.2,60,8.07
2021-12-29T18:00:00+00:00,2021-12-29T19:00:00,0,0,0,0,238,255.2,60,8.07
2021-12-29T17:00:00+00:00,2021-12-29T18:00:00,0,0,0,0,238,280.2,60,8.07
2021-12-29T16:00:00+00:00,2021-12-29T17:00:00,0,0,0,0,238,280.2,60,8.07
2021-12-29T15:00:00+00:00,2021-12-29T16:00:00,0,0,0,0,238,280.2,60,8.07
2021-12-29T14:00:00+00:00,2021-12-29T15:00:00,0,0,0,0,238,280.2,60,8.07
2021-12-29T13:00:00+00:00,2021-12-29T14:00:00,0,0,0,0,238,249.2,60,8.07
2021-12-29T12:00:00+00:00,2021-12-29T13:00:00,0,0,0,0,238,249.2,60,8.07
2021-12-29T11:00:00+00:00,2021-12-29T12:00:00,0,0,0,0,238,249.6,60,8.07
2021-12-29T10:00:00+00:00,2021-12-29T11:00:00,0,0,0,0,238,249.2,60,8.07
2021-12-29T09:00:00+00:00,2021-12-29T10:00:00,0,0,0,0,238,242.2,60,8.07
2021-12-29T08:00:00+00:00,2021-12-29T09:00:00,0,0,0,0,238,241.2,60,8.07
2021-12-29T07:00:00+00:00,2021-12-29T08:00:00,0,0,0,0,238,241.2,60,8.07
2021-12-29T06:00:00+00:00,2021-12-29T07:00:00,0,0,0,0,238,245.2,60,8.07
2021-12-29T05:00:00+00:00,2021-12-29T06:00:00,0,0,0,0,238,238.7,60,8.07
2021-12-29T04:00:00+00:00,2021-12-29T05:00:00,0,0,0,0,238,238.7,60,8.07
2021-12-29T03:00:00+00:00,2021-12-29T04:00:00,0,0,0,0,238,238.7,60,8.07
2021-12-29T02:00:00+00:00,2021-12-29T03:00:00,0,0,0,0,238,276.7,60,8.07
2021-12-29T01:00:00+00:00,2021-12-29T02:00:00,0,0,0,0,238,286.7,60,8.07
2021-12-29T00:00:00+00:00,2021-12-29T01:00:00,0,0,0,0,238,286.7,60,8.07
2021-12-28T23:00:00+00:00,2021-12-29T00:00:00,0,0,0,0,238,286.7,60,8.07
2021-12-28T22:00:00+00:00,2021-12-28T23:00:00,0,0,0,0,238,246.2,60,8.07
