HourUTC,HourDK,PriceArea,ImbalanceSurplus,ImbalanceDeficit,RegulatingPowerDown,RegulatingPowerUp,BalancingPowerPriceUpDKK,BalancingPowerPriceUpEUR,BalancingPowerPriceDownDKK,BalancingPowerPriceDownEUR,BalancingPowerConsumptionPriceDKK,BalancingPowerConsumptionPriceEUR,IGCC_PriceUpDKK,IGCC_PriceUpEUR,IGCC_PriceDownDKK,IGCC_PriceDownEUR
2021-12-31T23:00:00+00:00,2022-01-01T00:00:00,DK1,,,0,0,372.2,50.05042695,372.2,50.05042695,372.2,50.05042695,,,,
2021-12-31T22:00:00+00:00,2021-12-31T23:00:00,DK1,,,0,350.4,1056.47,142.0654878,221.31,29.75996773,1056.47,142.0654878,,,,
2021-12-31T21:00:00+00:00,2021-12-31T22:00:00,DK1,,,0,182.8,1000,134.4718618,240.5,32.34048275,1000,134.4718618,,,,
2021-12-31T20:00:00+00:00,2021-12-31T21:00:00,DK1,,,0,0,246,33.08007799,246,33.08007799,246,33.08007799,,,,
2021-12-31T19:00:00+00:00,2021-12-31T20:00:00,DK1,,,0,4.8,334.27,44.94990923,252.54,33.95952397,334.27,44.94990923,,,,
2021-12-31T18:00:00+00:00,2021-12-31T19:00:00,DK1,,,0,4.8,386.25,51.93975661,357.03,48.01048881,386.25,51.93975661,,,,
2021-12-31T17:00:00+00:00,2021-12-31T18:00:00,DK1,,,0,0,704.83,94.77980233,704.83,94.77980233,704.83,94.77980233,,,,
2021-12-31T16:00:00+00:00,2021-12-31T17:00:00,DK1,,,0,0,781.35,105.0695892,781.35,105.0695892,781.35,105.0695892,,,,
2021-12-31T15:00:00+00:00,2021-12-31T16:00:00,DK1,,,0,0,706.91,95.0595038,706.91,95.0595038,706.91,95.0595038,,,,
2021-12-31T14:00:00+00:00,2021-12-31T15:00:00,DK1,,,0,16.3,450.44,60.57150541,411.68,55.35937605,450.44,60.57150541,,,,
2021-12-31T13:00:00+00:00,2021-12-31T14:00:00,DK1,,,0,0.7,450.44,60.57150541,393.54,52.92005648,450.44,60.57150541,,,,
2021-12-31T12:00:00+00:00,2021-12-31T13:00:00,DK1,,,0,94.1,699,93.99583137,384.02,51.63988435,699,93.99583137,,,,
2021-12-31T11:00:00+00:00,2021-12-31T12:00:00,DK1,,,0,11,710.96,95.60411484,375.17,50.44980838,710.96,95.60411484,,,,
2021-12-31T10:00:00+00:00,2021-12-31T11:00:00,DK1,,,0,12.3,468.5,63.00006724,337.77,45.42056075,468.5,63.00006724,,,,
2021-12-31T09:00:00+00:00,2021-12-31T10:00:00,DK1,,,0,4.2,467.46,62.8602165,291.21,39.15955086,467.46,62.8602165,,,,
2021-12-31T08:00:00+00:00,2021-12-31T09:00:00,DK1,,,0,0,261.91,35.21952531,261.91,35.21952531,261.91,35.21952531,,,,
2021-12-31T07:00:00+00:00,2021-12-31T08:00:00,DK1,,,0,0,242.73,32.64035501,242.73,32.64035501,242.73,32.64035501,,,,
